date,sp500
2018-12-31,2506.8501
2019-01-01,
2019-01-02,2510.03
2019-01-03,2447.8899
2019-01-04,2531.9399
2019-01-07,2549.6899
2019-01-08,2574.4099
2019-01-09,2584.96
2019-01-10,2596.6399
2019-01-11,2596.26
2019-01-14,2582.6101
2019-01-15,2610.3
2019-01-16,2616.1001
2019-01-17,2635.96
2019-01-18,2670.71
2019-01-21,
2019-01-22,2632.8999
2019-01-23,2638.7
2019-01-24,2642.3301
2019-01-25,2664.76
2019-01-28,2643.8501
2019-01-29,2640
2019-01-30,2681.05
2019-01-31,2704.1001
2019-02-01,2706.53
2019-02-04,2724.8701
2019-02-05,2737.7
2019-02-06,2731.6101
2019-02-07,2706.05
2019-02-08,2707.8799
2019-02-11,2709.8
2019-02-12,2744.73
2019-02-13,2753.03
2019-02-14,2745.73
2019-02-15,2775.6001
2019-02-18,
2019-02-19,2779.76
2019-02-20,2784.7
2019-02-21,2774.8799
2019-02-22,2792.6699
2019-02-25,2796.1101
2019-02-26,2793.8999
2019-02-27,2792.3799
2019-02-28,2784.49
2019-03-01,2803.6899
2019-03-04,2792.8101
2019-03-05,2789.6499
2019-03-06,2771.45
2019-03-07,2748.9299
2019-03-08,2743.0701
2019-03-11,2783.3
2019-03-12,2791.52
2019-03-13,2810.9199
2019-03-14,2808.48
2019-03-15,2822.48
2019-03-18,2832.9399
2019-03-19,2832.5701
2019-03-20,2824.23
2019-03-21,2854.8799
2019-03-22,2800.71
2019-03-25,2798.3601
2019-03-26,2818.46
2019-03-27,2805.3701
2019-03-28,2815.4399
2019-03-29,2834.3999
2019-04-01,2867.1899
2019-04-02,2867.24
2019-04-03,2873.3999
2019-04-04,2879.3899
2019-04-05,2892.74
2019-04-08,2895.77
2019-04-09,2878.2
2019-04-10,2888.21
2019-04-11,2888.3201
2019-04-12,2907.4099
2019-04-15,2905.5801
2019-04-16,2907.0601
2019-04-17,2900.45
2019-04-18,2905.03
2019-04-19,
2019-04-22,2907.97
